"party","levels_of_party","race","gender","education","state_of_residence","president_voted_for","immigration_importance","environment_importance","gay_rights_importance","health_care_importance","climate_change_importance","abortion_importance","racial_equality_importance","gender_equality_importance","legality_abortion","gay_marriage","police_racial_bias","global_warming","religion_importance","age_group","ideology"
3,4,3,1,6,9,1,2,1,1,2,1,4,2,2,1,1,2,1,4,"3","1"
4,5,1,1,3,49,3,1,1,1,1,3,1,1,1,2,1,2,1,1,"4","2"
3,4,7,1,3,6,1,4,1,2,1,1,4,2,2,1,1,2,1,4,"3","3"
1,1,1,2,3,31,1,NA,NA,1,NA,1,1,1,1,1,1,2,1,1,"5","1"
1,1,2,2,6,48,1,3,1,2,1,1,1,1,2,1,1,2,1,2,"3","1"
2,7,1,1,5,12,2,1,2,4,2,4,3,3,4,2,2,1,4,2,"4","2"
2,7,6,1,3,53,2,2,2,3,1,3,2,2,3,2,2,1,5,1,"4","2"
3,3,1,2,3,1,1,2,2,2,1,2,1,1,1,1,1,2,1,3,"5","3"
1,1,1,1,6,42,1,3,1,1,1,1,3,2,2,2,1,2,1,4,"4","3"
4,5,1,1,5,48,3,2,3,2,2,4,3,3,3,2,1,1,2,2,"2","3"
1,2,1,1,5,18,1,2,2,2,2,3,4,3,3,1,1,8,2,4,"3","3"
3,3,1,1,4,36,1,2,1,2,2,1,2,2,2,1,1,2,1,1,"4","1"
2,6,1,1,5,42,2,1,3,3,1,4,1,1,3,3,2,1,4,1,"5","2"
1,2,1,1,3,28,1,2,2,3,1,1,4,2,2,2,1,1,1,2,"5","3"
1,1,1,2,6,41,1,2,1,1,1,1,1,1,1,1,1,2,1,2,"4","1"
3,3,1,2,6,36,1,1,1,2,1,2,2,1,2,1,1,2,1,4,"4","3"
2,7,1,1,4,37,2,1,2,2,2,2,1,1,3,3,2,1,2,2,"3","2"
2,7,1,1,3,24,2,1,2,3,2,4,2,3,4,2,1,1,2,1,"4","2"
1,1,1,1,6,42,NA,NA,1,1,NA,1,NA,1,1,2,1,2,1,4,"5","1"
2,6,1,2,5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8,2,1,"1","2"
