"party","party.agendas","levels.of.party","race","education","fam.income","state.of.residence","vote.method","president.voted.for","reason.of.voting","immigration.importance","environment.importance","gay.rights.importance","health.care.importance","climate.change.importance","abortion.importance","racial.equality.importance","gender.equality.importance","legality.abortion","gay.marriage","police.racial.bias","global.warming","tax.raise","employment.status","political.viewpoint","religion.importance"
1,2,1,2,4,7,17,2,1,1,2,2,1,1,2,1,1,1,1,1,2,5,1,1,2,1
2,1,7,1,3,5,42,1,2,2,1,2,3,2,4,1,1,2,3,2,1,1,2,9,5,1
3,1,3,1,5,8,8,3,4,NA,2,1,2,1,1,1,2,1,1,1,2,4,1,2,2,4
1,2,1,1,5,13,34,3,3,NA,3,2,1,2,1,3,1,2,1,1,2,1,2,1,2,2
1,2,1,1,5,3,17,3,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,5,1,3
3,2,3,1,6,97,17,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,7,2,1
3,1,3,2,2,2,39,3,1,2,3,2,3,1,4,2,1,2,2,2,2,5,1,6,3,4
2,1,6,1,6,9,31,1,2,1,1,4,2,2,4,4,4,4,8,1,1,4,1,1,3,4
1,1,2,1,5,11,27,2,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,7,2,4
1,2,2,1,6,8,39,1,1,2,2,1,3,2,1,4,1,2,2,1,2,1,1,1,2,2
1,2,1,1,6,97,42,1,1,1,2,1,1,1,1,3,1,1,8,1,2,1,1,1,2,2
3,2,4,1,6,9,36,1,2,1,1,NA,3,3,4,4,3,3,2,2,1,4,2,1,3,3
1,2,1,1,3,14,25,3,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,3,3
1,1,1,1,5,9,6,3,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,4
1,2,2,3,4,2,36,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,6,2,4
1,1,1,1,4,11,6,3,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,3,3
3,2,4,1,3,9,46,2,2,1,1,2,4,2,4,2,3,4,2,2,NA,4,2,1,3,1
1,1,2,1,5,7,20,1,4,NA,2,1,2,1,1,2,2,1,1,1,2,1,1,1,3,4
3,1,3,7,5,12,37,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,3
2,1,7,1,4,12,42,1,2,2,2,2,3,1,4,3,2,4,2,1,1,4,2,2,4,3
1,2,1,1,6,8,41,3,1,2,3,1,1,1,1,3,1,1,2,1,2,1,1,1,2,4
3,2,4,4,6,97,51,1,1,1,2,2,2,2,3,3,1,2,2,1,1,3,1,2,3,3
2,2,7,1,5,97,53,3,2,2,2,3,4,1,4,2,4,4,2,2,1,4,2,7,4,1
1,2,1,1,3,97,12,3,1,1,2,2,2,1,1,1,1,2,1,1,2,1,2,5,2,3
3,2,4,1,6,97,48,2,1,1,3,1,1,1,1,2,2,1,1,1,2,1,1,2,3,3
3,2,4,1,6,11,17,1,1,1,3,1,2,2,1,4,2,1,1,1,2,1,1,1,4,3
1,2,1,1,6,14,17,2,1,2,3,2,2,2,2,1,2,1,1,1,2,1,1,5,2,4
2,2,7,1,2,4,6,3,2,1,1,1,1,1,2,1,1,1,3,2,1,4,2,5,4,1
1,1,1,1,2,3,4,3,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,5,3,2
1,2,1,3,5,12,39,1,1,1,4,1,3,1,1,3,1,1,2,1,2,1,1,1,3,3
3,1,4,1,2,9,25,2,1,1,2,2,3,1,2,3,2,2,2,1,2,2,3,1,3,4
2,2,7,1,6,11,36,1,6,NA,2,3,4,2,4,1,2,4,3,2,1,2,2,1,4,1
1,2,1,1,6,11,41,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,4
1,2,1,1,2,97,17,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,4
1,2,1,1,3,6,4,3,1,1,3,1,2,2,1,3,1,1,3,1,2,1,1,1,2,4
3,2,4,1,5,8,9,1,6,NA,2,2,3,2,2,1,2,3,3,2,1,2,3,1,3,1
3,1,4,1,6,8,26,1,2,2,1,1,2,1,2,1,1,1,3,2,8,2,3,5,4,1
2,2,7,1,3,10,40,1,2,1,1,2,4,1,4,1,2,2,3,2,1,4,2,1,5,1
3,1,4,7,6,16,21,2,2,1,1,2,4,1,4,2,4,4,2,8,1,3,2,1,3,1
2,2,7,1,6,11,22,1,2,1,2,2,2,1,3,2,2,2,NA,NA,NA,3,NA,1,4,1
3,1,5,1,5,8,13,2,2,1,1,2,3,2,3,2,2,3,2,2,1,3,2,5,5,2
1,1,1,1,5,11,19,1,1,1,3,1,3,1,1,3,2,2,1,2,8,1,1,1,2,2
3,1,5,1,5,10,46,1,2,2,2,3,3,2,3,2,2,3,3,8,1,3,2,1,4,1
4,1,5,1,3,6,36,1,2,1,1,4,4,2,4,3,4,4,2,2,1,4,2,4,4,2
3,1,3,2,6,12,26,1,1,1,2,2,2,1,2,3,1,2,2,1,2,1,1,1,3,2
2,1,6,1,5,11,37,2,2,1,2,2,4,2,4,2,2,4,2,2,1,4,2,1,4,1
